"File","RelativePath","Line","Column"
"Hpf.Validation.Tests.cs","lib\filters\hpf\Hpf.Validation.Tests.cs","84","9"
"Kalman.Validation.Tests.cs","lib\filters\kalman\Kalman.Validation.Tests.cs","42","9"
"Kalman.Validation.Tests.cs","lib\filters\kalman\Kalman.Validation.Tests.cs","43","9"
"Loess.Tests.cs","lib\filters\loess\Loess.Tests.cs","97","9"
"Notch.Tests.cs","lib\filters\notch\Notch.Tests.cs","35","9"
"Notch.Tests.cs","lib\filters\notch\Notch.Tests.cs","36","9"
"Notch.Tests.cs","lib\filters\notch\Notch.Tests.cs","73","9"
"Notch.Tests.cs","lib\filters\notch\Notch.Tests.cs","90","9"
"Notch.Tests.cs","lib\filters\notch\Notch.Tests.cs","91","9"
"Sgf.Tests.cs","lib\filters\sgf\Sgf.Tests.cs","30","9"
"Sgf.Tests.cs","lib\filters\sgf\Sgf.Tests.cs","31","9"
"Ssf.Tests.cs","lib\filters\ssf\Ssf.Tests.cs","248","9"
"Usf.Tests.cs","lib\filters\usf\Usf.Tests.cs","307","9"
"Usf.Validation.Tests.cs","lib\filters\usf\Usf.Validation.Tests.cs","99","9"
"Usf.Validation.Tests.cs","lib\filters\usf\Usf.Validation.Tests.cs","163","9"
"Wiener.Tests.cs","lib\filters\wiener\Wiener.Tests.cs","30","9"
"Wiener.Tests.cs","lib\filters\wiener\Wiener.Tests.cs","31","9"
"Wiener.Tests.cs","lib\filters\wiener\Wiener.Tests.cs","85","9"
"Wiener.Tests.cs","lib\filters\wiener\Wiener.Tests.cs","86","9"
"Afirma.Tests.cs","lib\forecasts\afirma\Afirma.Tests.cs","469","9"
"Afirma.Tests.cs","lib\forecasts\afirma\Afirma.Tests.cs","470","9"
"Afirma.Validation.Tests.cs","lib\forecasts\afirma\Afirma.Validation.Tests.cs","187","9"
"Afirma.Validation.Tests.cs","lib\forecasts\afirma\Afirma.Validation.Tests.cs","212","9"
"Afirma.Validation.Tests.cs","lib\forecasts\afirma\Afirma.Validation.Tests.cs","213","9"
"Afirma.Validation.Tests.cs","lib\forecasts\afirma\Afirma.Validation.Tests.cs","236","9"
"Afirma.Validation.Tests.cs","lib\forecasts\afirma\Afirma.Validation.Tests.cs","296","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","45","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","46","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","47","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","72","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","73","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","74","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","104","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","105","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","106","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","145","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","146","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","147","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","195","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","196","9"
"Macd.Validation.Tests.cs","lib\momentum\macd\Macd.Validation.Tests.cs","197","9"
"Rsi.Tests.cs","lib\momentum\rsi\Rsi.Tests.cs","390","9"
"Rsx.Tests.cs","lib\momentum\rsx\Rsx.Tests.cs","61","9"
"Rsx.Tests.cs","lib\momentum\rsx\Rsx.Tests.cs","62","9"
"Rsx.Tests.cs","lib\momentum\rsx\Rsx.Tests.cs","85","9"
"Rsx.Tests.cs","lib\momentum\rsx\Rsx.Tests.cs","86","9"
"Rsx.Tests.cs","lib\momentum\rsx\Rsx.Tests.cs","196","9"
"Rsx.Validation.Tests.cs","lib\momentum\rsx\Rsx.Validation.Tests.cs","18","9"
"Rsx.Validation.Tests.cs","lib\momentum\rsx\Rsx.Validation.Tests.cs","19","9"
"Vel.Tests.cs","lib\momentum\vel\Vel.Tests.cs","238","9"
"Vel.Validation.Tests.cs","lib\momentum\vel\Vel.Validation.Tests.cs","253","9"
"Ao.Tests.cs","lib\oscillators\ao\Ao.Tests.cs","246","9"
"Ao.Tests.cs","lib\oscillators\ao\Ao.Tests.cs","247","9"
"Ao.Validation.Tests.cs","lib\oscillators\ao\Ao.Validation.Tests.cs","69","9"
"Apo.Tests.cs","lib\oscillators\apo\Apo.Tests.cs","246","9"
"Apo.Tests.cs","lib\oscillators\apo\Apo.Tests.cs","247","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","41","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","42","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","77","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","78","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","112","9"
"Apo.Validation.Tests.cs","lib\oscillators\apo\Apo.Validation.Tests.cs","113","9"
"Ultosc.Validation.Tests.cs","lib\oscillators\ultosc\Ultosc.Validation.Tests.cs","282","9"
"Ultosc.Validation.Tests.cs","lib\oscillators\ultosc\Ultosc.Validation.Tests.cs","283","9"
"Ultosc.Validation.Tests.cs","lib\oscillators\ultosc\Ultosc.Validation.Tests.cs","284","9"
"Beta.Tests.cs","lib\statistics\beta\Beta.Tests.cs","44","9"
"Beta.Tests.cs","lib\statistics\beta\Beta.Tests.cs","69","9"
"Beta.Validation.Tests.cs","lib\statistics\beta\Beta.Validation.Tests.cs","29","9"
"Beta.Validation.Tests.cs","lib\statistics\beta\Beta.Validation.Tests.cs","55","9"
"Cma.Validation.Tests.cs","lib\statistics\cma\Cma.Validation.Tests.cs","131","9"
"Cma.Validation.Tests.cs","lib\statistics\cma\Cma.Validation.Tests.cs","159","9"
"Cma.Validation.Tests.cs","lib\statistics\cma\Cma.Validation.Tests.cs","201","9"
"Cma.Validation.Tests.cs","lib\statistics\cma\Cma.Validation.Tests.cs","249","9"
"Cma.Validation.Tests.cs","lib\statistics\cma\Cma.Validation.Tests.cs","271","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","10","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","11","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","52","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","53","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","101","9"
"Covariance.Simd.Tests.cs","lib\statistics\covariance\Covariance.Simd.Tests.cs","102","9"
"Covariance.Tests.cs","lib\statistics\covariance\Covariance.Tests.cs","35","9"
"Covariance.Tests.cs","lib\statistics\covariance\Covariance.Tests.cs","287","9"
"Covariance.Tests.cs","lib\statistics\covariance\Covariance.Tests.cs","288","9"
"Covariance.Validation.Tests.cs","lib\statistics\covariance\Covariance.Validation.Tests.cs","10","9"
"Covariance.Validation.Tests.cs","lib\statistics\covariance\Covariance.Validation.Tests.cs","52","9"
"LinReg.Tests.cs","lib\statistics\linreg\LinReg.Tests.cs","133","9"
"LinReg.Tests.cs","lib\statistics\linreg\LinReg.Tests.cs","203","9"
"LinReg.Validation.Tests.cs","lib\statistics\linreg\LinReg.Validation.Tests.cs","24","9"
"LinReg.Validation.Tests.cs","lib\statistics\linreg\LinReg.Validation.Tests.cs","42","9"
"Median.Tests.cs","lib\statistics\median\Median.Tests.cs","178","9"
"Median.Tests.cs","lib\statistics\median\Median.Tests.cs","207","9"
"Median.Tests.cs","lib\statistics\median\Median.Tests.cs","265","9"
"Median.Validation.Tests.cs","lib\statistics\median\Median.Validation.Tests.cs","23","9"
"Median.Validation.Tests.cs","lib\statistics\median\Median.Validation.Tests.cs","65","9"
"Skew.Tests.cs","lib\statistics\skew\Skew.Tests.cs","117","9"
"Skew.Tests.cs","lib\statistics\skew\Skew.Tests.cs","119","9"
"Skew.Tests.cs","lib\statistics\skew\Skew.Tests.cs","178","9"
"Skew.Tests.cs","lib\statistics\skew\Skew.Tests.cs","301","9"
"Skew.Tests.cs","lib\statistics\skew\Skew.Tests.cs","381","9"
"Skew.Validation.Tests.cs","lib\statistics\skew\Skew.Validation.Tests.cs","18","9"
"StdDev.Tests.cs","lib\statistics\stddev\StdDev.Tests.cs","117","9"
"StdDev.Tests.cs","lib\statistics\stddev\StdDev.Tests.cs","208","9"
"StdDev.Tests.cs","lib\statistics\stddev\StdDev.Tests.cs","209","9"
